TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7705419.09;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;258256957.98;;2023-05-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;146387.58;;2023-05-29;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;295047249.12;;2023-05-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1673.53;;2023-05-29;SDP;DI1 X PRE
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;100823419.77;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1329794.30;;;Outros;999 X 999
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;200500.29;;;Outros;999 X 999
FI;03.919.474/0001-20;BANESTES  FMP - FGTS  PETROBRAS;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;61037517.44;;2023-05-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1799876.48;;2023-05-29;SBP;TBF X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;135807235.06;;2023-05-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;8951097.14;;2023-05-29;SDC;DI1 X DOL
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2141505.22;;2023-05-29;SBD;SB1 X DI1
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2193093.36;;2023-05-29;SCP;DOL X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8137209.81;;2023-05-29;SPB;PRE X SB1
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;119121046.50;;2023-05-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;76465650.49;;2023-05-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;118355214.36;;2023-05-29;SDC;DI1 X DOL
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;25102924.37;;2023-05-29;SBD;SB1 X DI1
FI;04.262.717/0001-62;FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO PARIS I;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2734.09;;2023-05-29;Outros;999 X 999
FI;04.573.108/0001-24;FUNDO DE INVESTIMENTO MULTIMERCADO BARRA VELHA II CRÉDITO PRIVADO;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;441281.02;;;SDL;DI1 X IAP
FI;04.894.428/0001-86;BANESTES FMP-FGTS VALE DO RIO DOCE;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3237265.55;;;SDE;DI1 X REU
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2398873.22;;;SDE;DI1 X REU
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;13301395.51;;2023-05-29;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;447793329.39;;;Outros;999 X 999
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;386085527.52;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;12996071.74;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;71094131.77;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;113522870.15;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;274911884.60;;;Outros;999 X 999
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;230389996.89;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;177617564.27;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;117901841.17;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;176267458.17;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;23872.04;;;SDP;DI1 X PRE
FI;07.046.169/0001-21;ASCESE FUNDO DE INVESTIMENTOS EM AÇÕES;2023-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;202406.49;;2023-05-29;Outros;999 X 999
