TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Cotas de Fundos;0;0;117743157;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Disponibilidades;;;5000;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Outras aplicações;;;54846456;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Títulos ligados ao agronegócio;;;493655720;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Títulos Públicos;0;0;15501413;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Valores a pagar;;;9539725;;2026-06-29
CLASSES - FIAGRO;28.152.777/0001-90;SUNO AGRO - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199137;Valores a receber;;;2429373;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Cotas de Fundos;0;0;24245275;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Disponibilidades;;;188;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Obrigações por venda a termo a entregar;;;2732773;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Outras aplicações;;;1464107;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Títulos ligados ao agronegócio;;;9010698;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Títulos Públicos;0;0;74813;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Valores a pagar;;;62488;;2026-06-29
CLASSES - FIAGRO;30.283.448/0001-20;FATOR INNOVATION FIAGRO - DIREITOS CREDITÓRIOS;2026-03-31;1199154;Valores a receber;;;765;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Cotas de Fundos;0;0;53322382;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Disponibilidades;;;288;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Operações Compromissadas;;;1531049;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Outras aplicações;;;27447916;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Títulos ligados ao agronegócio;;;73234929;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Valores a pagar;;;1686381;;2026-06-29
CLASSES - FIAGRO;37.037.297/0001-70;GALAPAGOS RECEBÍVEIS DO AGRONEGÓCIO - FIAGRO-IMOBILIÁRIO RESPONSABILIDADE LIMITADA;2026-03-31;1199131;Valores a receber;;;25034;;2026-06-29
CLASSES - FIAGRO;37.645.417/0001-11;UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO  AGRONEGÓCIO - RESP LIMITADA;2026-03-31;1192384;Cotas de Fundos;;;7013067;;2026-06-29
CLASSES - FIAGRO;37.645.417/0001-11;UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO  AGRONEGÓCIO - RESP LIMITADA;2026-03-31;1192384;Disponibilidades;;;356742;;2026-06-29
CLASSES - FIAGRO;37.645.417/0001-11;UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO  AGRONEGÓCIO - RESP LIMITADA;2026-03-31;1192384;Outras aplicações;0;0;17778427;;2026-06-29
CLASSES - FIAGRO;37.645.417/0001-11;UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO  AGRONEGÓCIO - RESP LIMITADA;2026-03-31;1192384;Títulos Públicos;0;0;1408201;;2026-06-29
CLASSES - FIAGRO;37.645.417/0001-11;UBYFOL AGRO III FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS DO  AGRONEGÓCIO - RESP LIMITADA;2026-03-31;1192384;Valores a pagar;;;11826475;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Cotas de Fundos;0;0;61508046;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Disponibilidades;;;187;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Outras aplicações;;;4444316;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Títulos ligados ao agronegócio;;;23069682;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Valores a pagar;;;235574;;2026-06-29
CLASSES - FIAGRO;41.218.352/0001-03;OURINVEST INNOVATION - FIAGRO RESPONSABILIDADE LIMITADA;2026-03-31;1199134;Valores a receber;;;13127;;2026-06-29
CLASSES - FIAGRO;41.520.452/0001-81;AGROFORTE - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - RESPONSABILIDADE LIMITADA;2026-03-31;1199127;Disponibilidades;;;447;;2026-06-29
CLASSES - FIAGRO;41.520.452/0001-81;AGROFORTE - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - RESPONSABILIDADE LIMITADA;2026-03-31;1199127;Operações Compromissadas;;;12427742;;2026-06-29
CLASSES - FIAGRO;41.520.452/0001-81;AGROFORTE - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - RESPONSABILIDADE LIMITADA;2026-03-31;1199127;Outras aplicações;;;8678817;;2026-06-29
CLASSES - FIAGRO;41.520.452/0001-81;AGROFORTE - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - RESPONSABILIDADE LIMITADA;2026-03-31;1199127;Valores a pagar;;;890819;;2026-06-29
CLASSES - FIAGRO;41.520.452/0001-81;AGROFORTE - FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - RESPONSABILIDADE LIMITADA;2026-03-31;1199127;Valores a receber;;;152912870;;2026-06-29
CLASSES - FIAGRO;42.133.756/0001-59;NAGRO GHIA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - DIREITOS CREDITÓRIOS;2026-03-31;1192538;Valores a pagar;;;17475;;2026-06-29
CLASSES - FIAGRO;42.133.756/0001-59;NAGRO GHIA FUNDO DE INVESTIMENTO NAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - DIREITOS CREDITÓRIOS;2026-03-31;1192538;Valores a receber;;;1195;;2026-06-29
CLASSES - FIAGRO;44.272.584/0001-20;LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - REPONSABILIDADE LIMITADA;2026-03-31;1192379;Cotas de Fundos;;;270574;;2026-06-29
CLASSES - FIAGRO;44.272.584/0001-20;LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - REPONSABILIDADE LIMITADA;2026-03-31;1192379;Disponibilidades;;;324156;;2026-06-29
CLASSES - FIAGRO;44.272.584/0001-20;LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - REPONSABILIDADE LIMITADA;2026-03-31;1192379;Outras aplicações;3800000;0;40815538;;2026-06-29
CLASSES - FIAGRO;44.272.584/0001-20;LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - REPONSABILIDADE LIMITADA;2026-03-31;1192379;Valores a pagar;;;43027274;;2026-06-29
CLASSES - FIAGRO;44.272.584/0001-20;LAVORO AGRO FIDC DAS CADEIAS PRODUTIVAS AGROINDUSTRIAIS - REPONSABILIDADE LIMITADA;2026-03-31;1192379;Valores a receber;;;1456236;;2026-06-29
CLASSES - FIAGRO;44.302.001/0001-66;CULTTIVO CRÉDITO AGRÍCOLA FIAGRO - DIREITOS CREDITÓRIOS DE RESPONSABILIDADE LIMITADA;2026-03-31;1192410;Cotas de Fundos;;;595189;;2026-06-29
