TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
FAPI;03.564.825/0001-27;SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL - RESPONSABILIDADE LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;0.000000;0.00;0.000000;0.00;1467.000000;1546408.37;;;PJ;33.611.500/0001-19;GERDAU S.A;2026-05-06;S;DI1;DI de um dia;107.250000;0.000000;;S;N;
FAPI;10.546.592/0001-03;SICREDI FAPI RENDA FIXA - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL - RESPONSABILIDADE LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;1007.000000;1061508.68;;;PJ;33.611.500/0001-19;GERDAU S.A;2026-05-06;S;DI1;DI de um dia;107.250000;0.000000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;34095.000000;34197101.56;;;PJ;07.859.971/0001-30;TRANSMISS ALIAN;2029-03-15;S;DI1;DI de um dia;100.000000;0.630000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;5080.000000;5098828.03;;;PJ;33.541.368/0001-16;CIA HIDRO ELETR;2029-04-15;S;DI1;DI de um dia;100.000000;0.849999;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;24896.000000;24985314.53;;;PJ;00.001.180/0001-26;ELETROBRAS;2029-04-15;S;DI1;DI de um dia;100.000000;0.849999;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;2982.000000;2989408.25;;;PJ;09.257.877/0001-37;FERROVIA N/S;2031-03-22;S;DI1;DI de um dia;100.000000;0.787012;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;2.000000;7108949.61;;;PJ;00.864.214/0001-06;ENERGISA SA;2024-07-23;S;DI1;DI de um dia;100.000000;1.378719;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;4.000000;14217899.21;;;PJ;00.864.214/0001-06;ENERGISA SA;2024-07-23;S;DI1;DI de um dia;100.000000;1.800000;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;4000.000000;4194855.36;;;PJ;00.864.214/0001-06;ENERGISA SA;2025-06-08;S;DI1;DI de um dia;100.000000;1.451921;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;8266.000000;8388272.17;;;PJ;04.370.282/0001-70;COPEL GERACAO E;2025-09-10;S;DI1;DI de um dia;100.000000;1.336207;;S;N;
FI;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2024-04-30;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;2.000000;13883082.48;;;PJ;01.417.222/0001-77;MRS LOGÍSTICA;2026-10-22;S;DI1;DI de um dia;100.000000;1.302085;;S;N;
FI;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2024-04-30;Debêntures;Debênture simples;N;Para negociação;;;;;2304.000000;1470508.35;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2024-12-29;S;PRE;Taxa de juro prefixada;100.000000;12.682500;;S;N;
