TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;17983.00;288524.39;3969.00;62484.88;807424.00;12716928.00;;;CSAN3;;;;;;;;2005-11-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;17983.00;407083.74;3969.00;92292.16;551664.00;11926975.68;;;RDOR3;;;;;;;;2020-12-10;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;4507.00;29186.20;943.00;6272.65;122270.00;789864.20;;;MRFG3;;;;;;;;2007-06-28;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;30491.00;1057470.75;6755.00;231962.35;1137894.00;39644226.96;;;ELET3;;;;;;;;1983-09-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;7916.00;205781.31;1731.00;45626.86;193098.00;4887310.38;;;TOTS3;;;;;;;;2006-03-09;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;4018.00;30645.86;874.00;6855.54;167911.00;1271086.27;;;BEEF3;;;;;;;;2007-07-20;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;9253.00;104703.98;2021.00;22914.30;219592.00;2582401.92;;;CSNA3;;;;;;;;1993-08-02;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;24310.00;270604.83;5272.00;57970.16;665255.00;7198059.10;;;ENEV3;;;;;;;;2013-10-22;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;12928.00;166844.18;2846.00;37447.30;405036.00;5164209.00;;;NTCO3;;;;;;;;2019-12-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-10-31;549250;1270960451.84;AÇÕES;Ação ordinária;N;Para negociação;22811.00;744807.96;5058.00;174324.82;564179.00;18623548.79;;;WEGE3;;;;;;;;2004-08-02;;;;
