TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;30539284.22;;2024-01-29;SBD;SB1 X DI1
FI;04.573.108/0001-24;FUNDO DE INVESTIMENTO MULTIMERCADO BARRA VELHA II CRÉDITO PRIVADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;435400.60;;;SDL;DI1 X IAP
FI;04.894.428/0001-86;BANESTES FMP-FGTS VALE DO RIO DOCE;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1534198.64;;;SDE;DI1 X REU
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;725204.14;;;SDE;DI1 X REU
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;25982005.79;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;92855109.16;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;226452119.37;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;486537565.88;;;Outros;999 X 999
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1013957.20;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;57090290.54;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;72110205.20;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;364762064.92;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;260672556.08;;;Outros;999 X 999
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;11697728.45;;;SDC;DI1 X DOL
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;78972937.15;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;10120073.01;;;SCP;DOL X PRE
FI;07.046.169/0001-21;ASCESE FUNDO DE INVESTIMENTOS EM AÇÕES;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.01;;2024-04-28;Outros;999 X 999
FI;07.046.169/0001-21;ASCESE FUNDO DE INVESTIMENTOS EM AÇÕES;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2043342.74;;2024-04-28;Outros;999 X 999
FI;07.110.975/0001-11;OAK FUNDO DE INVESTIMENTO MULTIMERCADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1308766.35;;2024-01-29;SDC;DI1 X DOL
FI;07.110.975/0001-11;OAK FUNDO DE INVESTIMENTO MULTIMERCADO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;214003848.57;;2024-01-29;Outros;999 X 999
FI;07.110.975/0001-11;OAK FUNDO DE INVESTIMENTO MULTIMERCADO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;575905263.89;;2024-01-29;Outros;999 X 999
FI;07.364.774/0001-40;FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO VIENA;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;342588.26;;2024-01-29;SDL;DI1 X IAP
FI;07.664.177/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATEGICO MULTIMERCADO LONGO PRAZO;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;175905.95;;;Outros;999 X 999
FI;07.664.177/0001-31;FUNDO DE INVESTIMENTO CAIXA MASTER ESTRATEGICO MULTIMERCADO LONGO PRAZO;2023-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;493896.48;;;Outros;999 X 999
FI;08.771.962/0001-56;OITI FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;162064405.74;;;SCE;DOL X REU
