TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;48.970.281/0001-31;SUGOI FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;512567.10;;2026-01-29;Outros;999 X 999
CLASSES - FIF;52.042.860/0001-91;KAPITALO KAPPA PREVIDÊNCIA II MASTER FIF - CLASSE DE INVESTIMENTO MULTIMERCADO - RESP LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;16290.03;;2026-01-29;SCP;DOL X PRE
CLASSES - FIF;52.259.535/0001-85;GROELÂNDIA FUNDO DE INVESTIMENTO EM INFRAESTRUTURA RENDA FIXA CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1640271.67;;;SDP;DI1 X PRE
CLASSES - FIF;53.113.637/0001-50;LIBERO 2 ESTRUTURADO FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;120776.17;;2026-01-29;SDP;DI1 X PRE
CLASSES - FIF;53.202.910/0001-13;BEAGLE PRO FI EM COTAS DE FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1517170.01;;;SEP;REU X PRE
CLASSES - FIF;53.203.481/0001-07;MEROS PRO FI EM COTAS DE FI FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1517170.01;;;SEP;REU X PRE
CLASSES - FIF;54.274.648/0001-85;BNP PARIBAS CAPITAL PROTEGIDO MASTER OPORT LOCAL CLASSE DE INVEST MULT RESPONSABILIDADE LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1460598.31;;;SDP;DI1 X PRE
CLASSES - FIF;54.518.925/0001-58;IBIUNA CREDIT MASTER FIF - CI RF INCENTIVADO INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2963473.73;;2026-01-29;SDL;DI1 X IAP
CLASSES - FIF;54.518.925/0001-58;IBIUNA CREDIT MASTER FIF - CI RF INCENTIVADO INVESTIMENTO EM INFRAESTRUTURA RESP LIMITADA;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;467754.43;;2026-01-29;SDL;DI1 X IAP
CLASSES - FIF;54.704.685/0001-86;SKYLINE FUNDO DE INVESTIMENTO MULTIMERCADO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;6501239.66;;2026-01-29;SDC;DI1 X DOL
CLASSES - FIF;54.776.432/0001-18;TRANSFERO ABSOLUTE HORIZON FUNDO DE INVESTIMENTO FINANCEIRO;2025-10-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;410893.22;;2026-01-29;Outros;999 X 999
CLASSES - FIF;55.897.646/0001-05;WHG JBA DEBÊNTURES INCENTIVADAS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-10-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;15110.05;;2026-01-29;SDL;DI1 X IAP
