TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-10-31;Ações;2531039;3079722;9429666;;2026-04-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-10-31;Certificado ou recibo de depósito de valores mobiliários;;;591660;;2026-04-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-10-31;Operações Compromissadas;;;409869;;2026-04-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-10-31;Valores a pagar;;;10432;;2026-04-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-10-31;Valores a receber;;;1282726;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Ações;6142616;8259749;4210000;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Brazilian Depository Receipt - BDR;;;160952776;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Cotas de Fundos;;;175922384;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Disponibilidades;;;3017226;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Investimento no Exterior;49113835;48307018;73616252;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Mercado Futuro - Posições compradas;305225092;425231335;247078;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Mercado Futuro - Posições vendidas;304788397;291095834;-254813;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Opções - Posições titulares;296003485;149716862;520526;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Operações Compromissadas;;;10999365;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Valores a pagar;;;81407782;;2026-04-29
CLASSES - FIF;01.578.474/0001-88;BB AÇÕES TECNOLOGIA  FUNDO DE INVESTIMENTO  FINANCEIRO RESPONSABILIDADE LIMITADA;2025-10-31;Valores a receber;;;80030482;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Ações;1291780;5119663;55985191;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Certificado ou recibo de depósito de valores mobiliários;;;6644800;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Disponibilidades;;;3801;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Mercado Futuro - Posições compradas;;;1033;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Operações Compromissadas;;;1600425;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Títulos Públicos;0;0;1078585;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Valores a pagar;;;329916;;2026-04-29
CLASSES - FIF;01.643.271/0001-28;FCOPEL II FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Valores a receber;;;445677;;2026-04-29
CLASSES - FIF;01.656.101/0001-88;MCR-PRINCIPAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Disponibilidades;;;7548517;;2026-04-29
CLASSES - FIF;01.656.101/0001-88;MCR-PRINCIPAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Investimento no Exterior;;;351417099;;2026-04-29
CLASSES - FIF;01.656.101/0001-88;MCR-PRINCIPAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Operações Compromissadas;;;4550850;;2026-04-29
CLASSES - FIF;01.656.101/0001-88;MCR-PRINCIPAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Valores a pagar;;;1356532;;2026-04-29
CLASSES - FIF;01.656.101/0001-88;MCR-PRINCIPAL FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA;2025-10-31;Valores a receber;;;26330;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Ações;31223563;33308543;169526713;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Ações e outros TVM cedidos em empréstimo;;;12499712;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Certificado ou recibo de depósito de valores mobiliários;;;8813882;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Disponibilidades;;;10021;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Mercado Futuro - Posições compradas;;;19926;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Opções - Posições lançadas;;;31540;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Opções - Posições titulares;;;83000;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Operações Compromissadas;;;10283518;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Valores a pagar;;;1493014;;2026-04-29
CLASSES - FIF;01.699.688/0001-02;SANTANDER IBOVESPA ATIVO INSTITUCIONAL AÇÕES - FIF RESP LIMITADA;2025-10-31;Valores a receber;;;1372819;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Ações;0;0;43958584;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Ações e outros TVM cedidos em empréstimo;;;23091928;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Disponibilidades;;;0;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Operações Compromissadas;;;5302217;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Valores a pagar;;;142852;;2026-04-29
CLASSES - FIF;01.745.808/0001-60;PAVA FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES;2025-10-31;Valores a receber;;;15649;;2026-04-29
CLASSES - FIF;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES RESP LIMITADA;2025-10-31;Ações;0;0;7374813;;2026-04-29
CLASSES - FIF;02.097.253/0001-50;SAFRA PRIVATE FUNDO DE INVESTIMENTO FINANCEIRO CLASSE DE INVESTIMENTO EM AÇÕES RESP LIMITADA;2025-10-31;Certificado ou recibo de depósito de valores mobiliários;0;0;163732;;2026-04-29
CLASSES - FIF;02.343.288/0001-22;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES MAINÁ;2025-10-31;Cotas de Fundos;;;1100447338;;2026-04-29
CLASSES - FIF;02.343.288/0001-22;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES MAINÁ;2025-10-31;Operações Compromissadas;;;7381137;;2026-04-29
CLASSES - FIF;02.343.288/0001-22;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES MAINÁ;2025-10-31;Valores a pagar;;;2387423;;2026-04-29
CLASSES - FIF;02.343.288/0001-22;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES MAINÁ;2025-10-31;Valores a receber;;;33720;;2026-04-29
CLASSES - FIF;02.436.763/0001-05;SANTANDER SELEÇÃO CRESCIMENTO SENIOR AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-10-31;Cotas de Fundos;;;91697931;;2026-04-29
CLASSES - FIF;02.436.763/0001-05;SANTANDER SELEÇÃO CRESCIMENTO SENIOR AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-10-31;Disponibilidades;;;4826;;2026-04-29
CLASSES - FIF;02.436.763/0001-05;SANTANDER SELEÇÃO CRESCIMENTO SENIOR AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-10-31;Valores a pagar;;;208826;;2026-04-29
CLASSES - FIF;02.436.763/0001-05;SANTANDER SELEÇÃO CRESCIMENTO SENIOR AÇÕES - CLASSE DE INVESTIMENTO EM COTAS DE FIF RESP LIMITADA;2025-10-31;Valores a receber;;;247645;;2026-04-29
