TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Ações;3402137;6394488;11929395;;2026-06-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Opções - Posições titulares;;;371803;;2026-06-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Operações Compromissadas;;;744841;;2026-06-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Outros valores mobiliários registrados na CVM objeto de oferta pública;;;11351;;2026-06-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Valores a pagar;;;510318;;2026-06-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-12-31;Valores a receber;;;258495;;2026-06-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-12-31;Ações;20262181;25091791;139428900;;2026-06-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-12-31;Ações e outros TVM cedidos em empréstimo;;;53325596;;2026-06-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-12-31;Certificado ou recibo de depósito de valores mobiliários;0;0;10231100;;2026-06-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-12-31;Cotas de Fundos;;;4740;;2026-06-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-12-31;Disponibilidades;;;10000;;2026-06-29
