TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;6429.00;181546.40;6880.00;190114.80;190520.00;5285024.80;;;TOTS3;;;;;;;;2006-03-09;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;55236.00;3539079.28;58980.00;3719546.00;2738123.00;178197044.84;;;VALE3;;;;;;;;1982-02-15;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;17566.00;839796.22;18784.00;883901.84;733078.00;34527973.80;;;BBAS3;;;;;;;;1973-05-31;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;13825.00;445496.30;14828.00;476302.68;796075.00;25203734.50;;;EQTL3;;;;;;;;2006-04-03;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;71213.00;953639.30;76080.00;1046250.80;3994717.00;51651690.81;;;B3SA3;;;;;;;;2018-03-26;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;3402.00;79686.88;3588.00;86095.96;145760.00;3270854.40;;;CYRE3;;;;;;;;1996-05-27;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;14035.00;266048.75;14992.00;286020.96;472141.00;8687394.40;;;JBSS3;;;;;;;;2007-03-29;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;10389.00;163835.76;11112.00;183792.80;387136.00;5876724.48;;;NTCO3;;;;;;;;2019-12-18;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;8357.00;257907.88;8956.00;286531.12;443403.00;13470583.14;;;BBSE3;;;;;;;;2013-04-29;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-08-31;518904;1342060558.20;AÇÕES;Ação ordinária;N;Para negociação;53673.00;245216.95;57392.00;273894.84;2974408.00;12670978.08;;;HAPV3;;;;;;;;2018-04-25;;;;
