TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7572892.31;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;301564862.79;;2023-09-28;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;142173.32;;2023-09-28;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;12476.19;;2023-09-28;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;186445228.59;;2023-09-28;Outros;999 X 999
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;81574230.80;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;9373350.43;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2986934.60;;;Outros;999 X 999
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-06-30;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;944947.32;;;Outros;999 X 999
FI;03.919.474/0001-20;BANESTES  FMP - FGTS  PETROBRAS;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;27980828.49;;2023-09-28;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1895841.68;;2023-09-28;SBP;TBF X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-06-30;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;199616602.31;;2023-09-28;SDP;DI1 X PRE
