TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
FAPI;02.010.153/0001-45;BB FAPI FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-06-30;16554715.54
FAPI;02.177.812/0001-32;ITAU FAPI RENDA FIXA - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-06-30;71227474.07
FAPI;02.177.815/0001-76;ITAU FAPI CONSERVADOR - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-06-30;2064429.36
FAPI;02.185.027/0001-21;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI FIX;2023-06-30;526645599.20
FAPI;02.226.122/0001-26;UNIBANCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVADOR;2023-06-30;4531.40
FAPI;02.297.533/0001-02;BRADESCO FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL FAPI RENDA FIXA PLUS;2023-06-30;16855080.56
FAPI;02.661.252/0001-97;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL AGGRESSIVE IB;2023-06-30;2278966.13
FAPI;02.661.267/0001-55;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL BALANCED IB;2023-06-30;7743517.82
FAPI;02.661.317/0001-02;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CAPITAL PRESERVATION IB;2023-06-30;8551372.79
FAPI;02.661.339/0001-64;FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL CONSERVATIVE IB;2023-06-30;10921951.39
FAPI;03.564.825/0001-27;SICREDI FAPI COMPOSTO - FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-06-30;77149966.31
FAPI;04.785.314/0001-06;FAPI BANRISUL CONSERVADOR;2023-06-30;10706935.36
FAPI;10.546.592/0001-03;SICREDI FAPI RENDA FIXA FUNDO DE APOSENTADORIA PROGRAMADA INDIVIDUAL;2023-06-30;65081172.78
FI;00.017.024/0001-53;FUNDO DE INVESTIMENTO RENDA FIXA EXPONENCIAL;2023-06-30;1099208.38
FI;00.068.305/0001-35;FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO CAIXA EMPREENDER RENDA FIXA LONGO PRAZO;2023-06-30;37815430.55
FI;00.071.477/0001-68;BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO;2023-06-30;2424184865.15
FI;00.073.041/0001-08;BB BESC RENDA FIXA PRÁTICO CRÉDITO PRIVADO FUNDO DE INVESTIMENTO;2023-06-30;12182249.95
