TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;4776.000000;4788881.89;;2025-01-29;PJ;05.197.443/0001-38;HAPVIDA PARTICIPACOES E INVESTIMENT;2032-10-15;S;DI1;DI de um dia;100.000000;1.200000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;22268.000000;20352577.51;;2025-01-29;PJ;10.552.848/0001-87;BRILHANTE TRANSMISSORA DE ENERGIA S;2025-12-15;S;DI1;DI de um dia;100.000000;1.250000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;5555.000000;5590388.75;;2025-01-29;PJ;40.432.544/0001-47;CLARO S.A. - Ex BCP S.A.;2028-10-10;S;DI1;DI de um dia;100.000000;0.550000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;4798.000000;4800012.78;;2025-01-29;PJ;60.840.055/0001-31;FLEURY SA;2029-10-21;S;DI1;DI de um dia;100.000000;0.450000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;30172.000000;30341733.16;;2025-01-29;PJ;06.047.087/0001-39;REDE D'OR SAO LUIZ S.A;2027-09-15;S;DI1;DI de um dia;100.000000;0.650000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;1913.000000;2001934.33;;2025-01-29;PJ;13.382.604/0001-91;PEQUENA CENTRAL HIDRELETRICA SL S/A;2029-01-17;S;DI1;DI de um dia;100.000000;1.400000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;4798.000000;4804097.72;;2025-01-29;PJ;09.584.854/0001-37;MANAUS TRANSMISSORA DE ENERGIA S.A;2029-10-21;S;DI1;DI de um dia;100.000000;0.550000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;14031.000000;14120624.75;;2025-01-29;PJ;00.242.184/0001-04;ARMAC LOCAÇÃO, LOGÍSTICA E SERVIÇOS;2032-09-25;S;DI1;DI de um dia;100.000000;1.350000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;17586.000000;17748917.67;;2025-01-29;PJ;01.543.032/0001-04;COMPANHIA ENERGETICA DE GOIAS;2030-09-15;S;DI1;DI de um dia;100.000000;1.000000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;4798.000000;4800031.74;;2025-01-29;PJ;60.840.055/0001-31;FLEURY SA;2031-10-21;S;DI1;DI de um dia;100.000000;0.550000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-10-31;Debêntures;Debênture simples;N;Para negociação;;;;;9145.000000;9201565.97;;2025-01-29;PJ;92.715.812/0001-31;COMPANHIA ESTADUAL DE TRANSMISSAO D;2029-09-10;S;DI1;DI de um dia;100.000000;0.490000;;S;N;
