TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;220219.00;15095511.70;38000.00;2616701.15;2446283.00;156097318.23;;;VALE3;;;;;;;;1982-02-15;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;47060.00;802191.78;8100.00;154635.46;369099.00;7178975.55;;;LREN3;;;;;;;;1973-07-24;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;99947.00;3472389.00;17200.00;612907.79;1072335.00;37853425.50;;;ELET3;;;;;;;;1983-09-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;13225.00;358961.00;2300.00;62626.00;113514.00;3011526.42;;;MULT3;;;;;;;;2007-07-27;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;51429.00;708243.13;8300.00;113223.83;387738.00;5261604.66;;;CCRO3;;;;;;;;2002-02-01;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;56190.00;1000766.92;9600.00;165341.94;462161.00;7764304.80;;;JBSS3;;;;;;;;2007-03-29;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;33259.00;1114261.66;5700.00;177302.36;481403.00;14889794.79;;;BBSE3;;;;;;;;2013-04-29;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;73336.00;2880926.81;12600.00;510206.44;805054.00;30278080.94;;;WEGE3;;;;;;;;2004-08-02;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;54214.00;1337307.50;9400.00;271775.08;429004.00;12441116.00;;;RDOR3;;;;;;;;2020-12-10;;;;
FIIM;06.323.688/0001-27;IT NOW PIBB IBRX-50 - FUNDO DE ÍNDICE;2023-05-31;474336;1310436117.76;AÇÕES;Ação ordinária;N;Para negociação;283817.00;3588321.45;49100.00;671205.04;2929038.00;39014786.16;;;B3SA3;;;;;;;;2018-03-26;;;;
