TP_FUNDO;CNPJ_FUNDO;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
FI;01.622.154/0001-88;BRADESCO FUNDO DE INVESTIMENTO RENDA FIXA HOUSTON;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;7823238.69;;;SDL;DI1 X IAP
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;282547648.42;;2023-06-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;141840.61;;2023-06-29;SDP;DI1 X PRE
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;268102268.02;;2023-06-29;Outros;999 X 999
FI;02.668.201/0001-97;BNP PARIBAS EQD BRAZIL FUND FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVEST. NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1825.61;;2023-06-29;SDP;DI1 X PRE
FI;02.727.085/0001-30;MÁXIMA  FMP - FGTS  PETROBRAS;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;02.885.730/0001-42;KONA FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;59273122.03;;;SDP;DI1 X PRE
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3241209.53;;;Outros;999 X 999
FI;03.737.188/0001-43;FUNDO DE INVESTIMENTO CAIXA MULTIMERCADO RV 30 LONGO PRAZO;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3483092.66;;;Outros;999 X 999
FI;03.919.474/0001-20;BANESTES  FMP - FGTS  PETROBRAS;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;49140909.11;;2023-06-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1662057.76;;2023-06-29;SBP;TBF X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;157223311.00;;2023-06-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;2571372.62;;2023-06-29;SBD;SB1 X DI1
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2126273.60;;2023-06-29;SCP;DOL X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;50874938.44;;2023-06-29;SDP;DI1 X PRE
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;72550105.50;;2023-06-29;SDL;DI1 X IAP
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;8881282.23;;2023-06-29;SDC;DI1 X DOL
FI;04.085.474/0001-34;CREDIT SUISSE PRÓPRIO FUNDO DE INVESTIMENTO MULTIMERCADO CREDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;27896588.57;;2023-06-29;SBD;SB1 X DI1
FI;04.262.717/0001-62;FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO PARIS I;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;961.00;;2023-06-29;Outros;999 X 999
FI;04.573.108/0001-24;FUNDO DE INVESTIMENTO MULTIMERCADO BARRA VELHA II CRÉDITO PRIVADO;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;448239.49;;;SDL;DI1 X IAP
FI;04.894.428/0001-86;BANESTES FMP-FGTS VALE DO RIO DOCE;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;0.00;;;SDP;DI1 X PRE
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;3805653.52;;;SDE;DI1 X REU
FI;05.075.861/0001-52;BB TOP EURO FUNDO DE INVESTIMENTO CAMBIAL LP;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1893004.31;;;SDE;DI1 X REU
FI;05.592.116/0001-80;LAWTON MULTIMERCADO EXCLUSIVO FUNDO DE INVESTIMENTO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;17200249.64;;;SDE;DI1 X REU
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;379453236.62;;;Outros;999 X 999
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;400531381.86;;;SEP;REU X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;29003325.61;;;SDL;DI1 X IAP
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;97131362.95;;;SCP;DOL X PRE
FI;05.754.066/0001-90;FUNDO DE INVESTIMENTO MULTIMERCADO ÁGATA CRÉDITO PRIVADO - INVESTIMENTO NO EXTERIOR;2023-03-31;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;113935020.87;;;SDE;DI1 X REU
