TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;5024.000000;5031228.14;;2025-12-29;PJ;09.346.601/0001-25;B3 S/A BRASIL,;2030-09-18;S;DI1;DI de um dia;100.000000;0.449999;;S;N;
CLASSES - FIF;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;15706.000000;15862265.89;;2025-12-29;PJ;02.286.479/0001-08;LOCALIZA FLEET;2032-09-09;S;DI1;DI de um dia;100.000000;1.240000;;S;N;
CLASSES - FIF;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1243.000000;1252885.23;;2025-12-29;PJ;00.864.214/0001-06;ENERGISA SA;2032-09-15;S;DI1;DI de um dia;100.000000;0.895397;;S;N;
CLASSES - FIF;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;6957.000000;7012327.08;;2025-12-29;PJ;00.864.214/0001-06;ENERGISA SA;2032-09-15;S;DI1;DI de um dia;100.000000;0.985229;;S;N;
CLASSES - FIF;00.322.699/0001-06;BRADESCO H FIF - CLASSE DE INVESTIMENTO RF REFERENCIADA DI CRED PRIV LP EXECUTIVO - RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;13166.000000;13144423.12;;2025-12-29;PJ;04.895.728/0001-80;CIA ELETR PARA;2032-09-15;S;DI1;DI de um dia;100.000000;0.678887;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;3000.000000;3028584.98;;;PJ;00.864.214/0001-06;ENERGISA SA;2032-09-15;S;DI1;DI de um dia;100.000000;0.750000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;5198.000000;1632674.09;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2027-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1.000000;290.48;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2029-01-15;S;DI1;DI de um dia;100.000000;4.500000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;10.000000;10465.81;;;PJ;46.059.783/0001-80;BOA ESPERANÇA ENERGIA RENOVÁVEL S.A.;2028-07-05;S;DI1;DI de um dia;101.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;40.000000;41988.52;;;PJ;25.005.683/0001-09;VERT COMPANHIA SECURITIZADORA;2034-02-10;S;DI1;DI de um dia;107.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;35.000000;37573.97;;;PJ;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;2029-04-12;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;00.807.777/0001-62;DAYCOVAL RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO;2025-09-30;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;303.000000;156301.60;;;PJ;02.773.542/0001-22;OPEA SECURITIZADORA S.A.;2026-12-17;S;DI1;DI de um dia;100.000000;5.350000;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1085.000000;857289.88;;2025-12-29;PJ;09.149.503/0001-06;OMEGA GERACAO S;2029-03-15;S;DI1;DI de um dia;100.000000;1.161384;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;665.000000;670701.65;;2025-12-29;PJ;07.859.971/0001-30;TAEE;2029-03-15;S;DI1;DI de um dia;100.000000;0.835517;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1166.000000;1240812.45;;2025-12-29;PJ;02.932.074/0001-91;HYPE;2029-05-03;S;DI1;DI de um dia;100.000000;3.208685;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1643.000000;1738325.38;;2025-12-29;PJ;01.027.058/0001-91;CIEL;2029-05-08;S;DI1;DI de um dia;100.000000;0.609128;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1100.000000;1183759.68;;2025-12-29;PJ;05.197.443/0001-38;HAPVIDA PARTICI;2029-05-10;S;DI1;DI de um dia;100.000000;1.315988;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;936.000000;983216.22;;2025-12-29;PJ;33.611.500/0001-19;GERDAU S/A;2029-05-29;S;DI1;DI de um dia;100.000000;0.599522;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;662.000000;696479.32;;2025-12-29;PJ;75.609.123/0001-23;UNIDAS LOCACOES;2029-06-10;S;DI1;DI de um dia;100.000000;2.754888;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;60.000000;64259.59;;2025-12-29;PJ;07.040.108/0001-57;CAGECE - CIA DE;2029-06-15;S;DI1;DI de um dia;100.000000;2.348900;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;1263.000000;1329490.39;;2025-12-29;PJ;71.673.990/0001-77;NATURA;2029-06-15;S;DI1;DI de um dia;100.000000;1.315347;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;273.000000;276613.92;;2025-12-29;PJ;01.616.929/0001-02;SANEAGO;2029-07-15;S;DI1;DI de um dia;100.000000;0.822338;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;395.000000;400228.94;;2025-12-29;PJ;01.616.929/0001-02;SANEAGO;2029-07-15;S;DI1;DI de um dia;100.000000;0.568779;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;81.000000;82238.90;;2025-12-29;PJ;02.762.121/0001-04;SANTOS BRAS;2029-08-15;S;DI1;DI de um dia;100.000000;0.665761;;S;N;
CLASSES - FIF;00.817.677/0001-17;CLASSE ÚNICA DO WESTERN ASSET ALPHA CREDIT RF FUNDO DE  INVESTIMENTO FINANCEIRO  CP  RESP LIMITADA;2025-09-30;Debêntures;Debênture simples;N;Para negociação;;;;;365.000000;366770.72;;2025-12-29;PJ;06.057.223/0001-71;ASSAI;2029-09-25;S;DI1;DI de um dia;100.000000;1.248888;;S;N;
