TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Ações;277530;1318777;9561425;;2026-03-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Opções - Posições titulares;;;52683;;2026-03-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Operações Compromissadas;;;1408505;;2026-03-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Valores a pagar;;;9766;;2026-03-29
CLASSES - FIF;01.071.664/0001-04;NAZARIO FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES;2025-09-30;Valores a receber;;;90755;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Ações;43211395;32269171;137108586;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Ações e outros TVM cedidos em empréstimo;;;31973713;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Certificado ou recibo de depósito de valores mobiliários;0;0;9411333;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Cotas de Fundos;;;4297;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Disponibilidades;;;10000;;2026-03-29
CLASSES - FIF;01.496.940/0001-86;BRAM H INSTITUCIONAL FI FINANCEIRO - CIA - RESP LIMITADA;2025-09-30;Mercado Futuro - Posições compradas;;;-2397;;2026-03-29
